Name,Fill_rate,Normal_capacity,Reserve,Date
Oued El Makhazine,72.4,672.9,487.1,26/10/2018
Oued El Makhazine,46.5,672.9,312.6,26/10/2017
Hassan II,63.2,392.3,247.9,26/10/2018
Hassan II,17.1,392.3,67.0,26/10/2017
Oued ZA,92.9,94.9,88.2,26/10/2018
Oued ZA,16.8,94.9,15.9,26/10/2017
Mohamed V,89.6,239.5,214.7,26/10/2018
Mohamed V,11.0,239.5,26.3,26/10/2017
Idriss 1er,78.9,1129.6,891.0,26/10/2018
Idriss 1er,41.3,1129.6,466.0,26/10/2017
Al Wahda,60.1,3522.3,2117.2,26/10/2018
Al Wahda,43.5,3522.3,1533.0,26/10/2017
El Kensera,64.1,216.4,138.8,26/10/2018
El Kensera,47.6,216.4,103.0,26/10/2017
Bin El Ouidane,59.8,1233.1,737.4,26/10/2018
Bin El Ouidane,18.7,1233.1,230.0,26/10/2017
Al Hanssali,35.7,724.4,258.9,26/10/2018
Al Hanssali,33.1,724.4,240.1,26/10/2017
Al Massira,27.3,2657.0,726.6,26/10/2018
Al Massira,21.5,2657.0,571.3,26/10/2017
Oued El Makhazine,72.5,672.9,487.7,27/10/2018
Oued El Makhazine,46.4,672.9,312.4,27/10/2017
Hassan II,63.2,392.3,248.0,27/10/2018
Hassan II,17.1,392.3,66.9,27/10/2017
Oued ZA,93.0,94.9,88.2,27/10/2018
Oued ZA,16.8,94.9,15.9,27/10/2017
Mohamed V,88.5,239.5,212.0,27/10/2018
Mohamed V,10.6,239.5,25.3,27/10/2017
Idriss 1er,78.5,1129.6,886.5,27/10/2018
Idriss 1er,41.2,1129.6,465.3,27/10/2017
Al Wahda,59.8,3522.3,2107.2,27/10/2018
Al Wahda,43.5,3522.3,1531.5,27/10/2017
El Kensera,64.3,216.4,139.1,27/10/2018
El Kensera,47.3,216.4,102.3,27/10/2017
Bin El Ouidane,59.7,1233.1,735.8,27/10/2018
Bin El Ouidane,18.6,1233.1,229.1,27/10/2017
Al Hanssali,35.6,724.4,257.5,27/10/2018
Al Hanssali,33.0,724.4,239.3,27/10/2017
Al Massira,27.4,2657.0,727.7,27/10/2018
Al Massira,21.4,2657.0,568.7,27/10/2017
Oued El Makhazine,72.7,672.9,489.3,28/10/2018
Oued El Makhazine,46.4,672.9,311.9,28/10/2017
Hassan II,63.2,392.3,248.0,28/10/2018
Hassan II,17.1,392.3,66.9,28/10/2017
Oued ZA,93.1,94.9,88.3,28/10/2018
Oued ZA,16.8,94.9,16.0,28/10/2017
Mohamed V,88.5,239.5,212.0,28/10/2018
Mohamed V,10.2,239.5,24.4,28/10/2017
Idriss 1er,78.3,1129.6,884.5,28/10/2018
Idriss 1er,41.1,1129.6,464.6,28/10/2017
Al Wahda,59.7,3522.3,2103.5,28/10/2018
Al Wahda,43.4,3522.3,1530.0,28/10/2017
El Kensera,64.8,216.4,140.3,28/10/2018
