"Name","Fill_rate","Normal_capacity","Reserve","Date"
"Oued El Makhazine","72.4","672.9","487.1","2018-10-26"
"Oued El Makhazine","46.5","672.9","312.6","2017-10-26"
"Hassan II","63.2","392.3","247.9","2018-10-26"
"Hassan II","17.1","392.3","67","2017-10-26"
"Oued ZA","92.9","94.9","88.2","2018-10-26"
"Oued ZA","16.8","94.9","15.9","2017-10-26"
"Mohamed V","89.6","239.5","214.7","2018-10-26"
"Mohamed V","11","239.5","26.3","2017-10-26"
"Idriss 1er","78.9","1129.6","891","2018-10-26"
"Idriss 1er","41.3","1129.6","466","2017-10-26"
"Al Wahda","60.1","3522.3","2117.2","2018-10-26"
"Al Wahda","43.5","3522.3","1533","2017-10-26"
"El Kensera","64.1","216.4","138.8","2018-10-26"
"El Kensera","47.6","216.4","103","2017-10-26"
"Bin El Ouidane","59.8","1233.1","737.4","2018-10-26"
"Bin El Ouidane","18.7","1233.1","230","2017-10-26"
"Al Hanssali","35.7","724.4","258.9","2018-10-26"
"Al Hanssali","33.1","724.4","240.1","2017-10-26"
"Al Massira","27.3","2657","726.6","2018-10-26"
"Al Massira","21.5","2657","571.3","2017-10-26"
"Oued El Makhazine","72.5","672.9","487.7","2018-10-27"
"Oued El Makhazine","46.4","672.9","312.4","2017-10-27"
"Hassan II","63.2","392.3","248","2018-10-27"
"Hassan II","17.1","392.3","66.9","2017-10-27"
"Oued ZA","93","94.9","88.2","2018-10-27"
"Oued ZA","16.8","94.9","15.9","2017-10-27"
"Mohamed V","88.5","239.5","212","2018-10-27"
"Mohamed V","10.6","239.5","25.3","2017-10-27"
"Idriss 1er","78.5","1129.6","886.5","2018-10-27"
"Idriss 1er","41.2","1129.6","465.3","2017-10-27"
"Al Wahda","59.8","3522.3","2107.2","2018-10-27"
"Al Wahda","43.5","3522.3","1531.5","2017-10-27"
"El Kensera","64.3","216.4","139.1","2018-10-27"
"El Kensera","47.3","216.4","102.3","2017-10-27"
"Bin El Ouidane","59.7","1233.1","735.8","2018-10-27"
"Bin El Ouidane","18.6","1233.1","229.1","2017-10-27"
"Al Hanssali","35.6","724.4","257.5","2018-10-27"
"Al Hanssali","33","724.4","239.3","2017-10-27"
"Al Massira","27.4","2657","727.7","2018-10-27"
"Al Massira","21.4","2657","568.7","2017-10-27"
"Oued El Makhazine","72.7","672.9","489.3","2018-10-28"
"Oued El Makhazine","46.4","672.9","311.9","2017-10-28"
"Hassan II","63.2","392.3","248","2018-10-28"
"Hassan II","17.1","392.3","66.9","2017-10-28"
"Oued ZA","93.1","94.9","88.3","2018-10-28"
"Oued ZA","16.8","94.9","16","2017-10-28"
"Mohamed V","88.5","239.5","212","2018-10-28"
"Mohamed V","10.2","239.5","24.4","2017-10-28"
"Idriss 1er","78.3","1129.6","884.5","2018-10-28"
"Idriss 1er","41.1","1129.6","464.6","2017-10-28"
"Al Wahda","59.7","3522.3","2103.5","2018-10-28"
"Al Wahda","43.4","3522.3","1530","2017-10-28"
"El Kensera","64.8","216.4","140.3","2018-10-28"
"El Kensera","46.9","216.4","101.6","2017-10-28"
"Bin El Ouidane","60","1233.1","739.9","2018-10-28"
"Bin El Ouidane","18.5","1233.1","228.2","2017-10-28"
"Al Hanssali","35.7","724.4","258.4","2018-10-28"
"Al Hanssali","33","724.4","239.3","2017-10-28"
"Al Massira","27.4","2657","728.3","2018-10-28"
"Al Massira","21.4","2657","567.7","2017-10-28"
"Oued El Makhazine","72.9","672.9","490.3","2018-10-29"
"Oued El Makhazine","46.4","672.9","311.9","2017-10-29"
"Hassan II","63.7","392.3","249.7","2018-10-29"
"Hassan II","17.1","392.3","66.9","2017-10-29"
"Oued ZA","93.2","94.9","88.4","2018-10-29"
"Oued ZA","16.8","94.9","16","2017-10-29"
"Mohamed V","89.8","239.5","215.2","2018-10-29"
"Mohamed V","10.2","239.5","24.4","2017-10-29"
"Idriss 1er","78.9","1129.6","891.5","2018-10-29"
"Idriss 1er","41.1","1129.6","464.6","2017-10-29"
"Al Wahda","59.9","3522.3","2109","2018-10-29"
"Al Wahda","43.4","3522.3","1530","2017-10-29"
"El Kensera","68.2","216.42","147.5","2018-10-29"
"El Kensera","46.9","216.42","101.6","2017-10-29"
"Bin El Ouidane","60.3","1233.1","744.06","2018-10-29"
"Bin El Ouidane","18.5","1233.1","228.2","2017-10-29"
"Al Hanssali","37","724.4","267.7","2018-10-29"
"Al Hanssali","33","724.4","239.3","2017-10-29"
"Al Massira","27.6","2657","733","2018-10-29"
"Al Massira","21.4","2657","567.7","2017-10-29"
"Oued El Makhazine","73","672.9","491.3","2018-10-30"
"Oued El Makhazine","46.2","672.9","311.2","2017-10-30"
"Hassan II","63.9","392.3","250.7","2018-10-30"
"Hassan II","17","392.3","66.9","2017-10-30"
"Oued ZA","93.9","94.9","89.1","2018-10-30"
"Oued ZA","16.9","94.9","16","2017-10-30"
"Mohamed V","92.1","239.5","220.6","2018-10-30"
"Mohamed V","9.4","239.5","22.6","2017-10-30"
"Idriss 1er","79.4","1129.6","897","2018-10-30"
"Idriss 1er","41","1129.6","462.9","2017-10-30"
"Al Wahda","60","3522.3","2113.5","2018-10-30"
"Al Wahda","43.4","3522.3","1527","2017-10-30"
"El Kensera","71.3","216.42","154.39","2018-10-30"
"El Kensera","46.2","216.42","100.1","2017-10-30"
"Bin El Ouidane","61.8","1233.1","761.7","2018-10-30"
"Bin El Ouidane","18.4","1233.1","226.8","2017-10-30"
"Al Hanssali","37.3","724.4","270.1","2018-10-30"
"Al Hanssali","33.1","724.4","239.5","2017-10-30"
"Al Massira","28","2657","744.2","2018-10-30"
"Al Massira","21.5","2657","571.3","2017-10-30"
"Oued El Makhazine","74.1","672.9","498.4","2018-10-31"
"Oued El Makhazine","46.2","672.9","310.9","2017-10-31"
"Hassan II","64.1","392.3","251.6","2018-10-31"
"Hassan II","17","392.3","66.8","2017-10-31"
"Oued ZA","93.7","94.9","88.9","2018-10-31"
"Oued ZA","17","94.9","16.1","2017-10-31"
"Mohamed V","94.4","239.5","226.2","2018-10-31"
"Mohamed V","8.9","239.5","21.3","2017-10-31"
"Idriss 1er","79.5","1129.6","898.6","2018-10-31"
"Idriss 1er","40.9","1129.6","462.2","2017-10-31"
"Al Wahda","60","3522.3","2112.6","2018-10-31"
"Al Wahda","43.3","3522.3","1525.5","2017-10-31"
"El Kensera","72.7","216.42","157.44","2018-10-31"
"El Kensera","46","216.42","99.5","2017-10-31"
"Bin El Ouidane","62.6","1233.1","772.48","2018-10-31"
"Bin El Ouidane","18.3","1233.1","226.1","2017-10-31"
"Al Hanssali","38.3","724.4","277.3","2018-10-31"
"Al Hanssali","33.1","724.4","240","2017-10-31"
"Al Massira","28.3","2657","752","2018-10-31"
"Al Massira","21.4","2657","568.7","2017-10-31"
"Oued El Makhazine","76.8","672.9","516.8","2018-11-01"
"Oued El Makhazine","46.1","672.9","310.4","2017-11-01"
"Hassan II","64.5","392.31","252.93","2018-11-01"
"Hassan II","17","392.31","66.8","2017-11-01"
"Oued ZA","93.8","94.9","89","2018-11-01"
"Oued ZA","17.1","94.9","16.2","2017-11-01"
"Mohamed V","95.6","239.5","229","2018-11-01"
"Mohamed V","7","239.5","16.8","2017-11-01"
"Idriss 1er","79.8","1129.6","901.1","2018-11-01"
"Idriss 1er","40.8","1129.6","461.1","2017-11-01"
"Al Wahda","61.5","3522.3","2164.7","2018-11-01"
"Al Wahda","43.2","3522.3","1523.3","2017-11-01"
"El Kensera","74.6","216.4","161.5","2018-11-01"
"El Kensera","45.6","216.4","98.7","2017-11-01"
